sentiment,content
sadness,&quot;My problem isn't that I miss you... 'cause I don't&quot;
sadness,That's it? It's done already? This is one proof that there's nothing fair in this world.   http://bit.ly/10UEMq
sadness,I am so hungry! And there is no food for me to steal
happiness,Feet hurt...finally in bed...will not forget this crunch when it's over...very very productive day today though
sadness,really ill atm
sadness,@Hi_Im_Chris and i cant get to mine  keep getting an error
happiness,"@coconutfriend i should have shouldnt i, im happy you enjoyed it cos im thoughtful like that you see, and YAYA i hav 20 followers  woop"
sadness,@MegFitzgerald my heart hurts too.
happiness,@tommcfly AHHHHHHH!!!!! its my 16th birthday  And i cant belive i found out im seeing yous tonight  Best present everr!!! &lt;333333333
sadness,says misses my cousins so badly!!!  http://plurk.com/p/x2bha
sadness,Hate this song  ? http://blip.fm/~5jg6f
happiness,@kelseyrose56 I WISH YOU WERE GOING TOO!  are you still coming to nicoles preprom? @nicolesx319 Can't wait for preprom!!!!
sadness,@mscrismusic wish u was in the D!
happiness,listenin do da beach girl5 on itunes
sadness,enjoying the great sunshine.. from indoors.. I don't feel good today
sadness,Leaving NOLA today  Counting down the seconds 'til I start crying. Love this place so much.
sadness,Stuck in office till 5. It's so warm outside
happiness,"&quot;Bad words are a crutch, they lead to tattoos and peircings!&quot;  Hahahaha!"
sadness,@Petronella I really want a Shish kebab... Going to have to settle for toast
sadness,@mileycyrus sorryyy milerz that i can't vote i would love to vote but it doesn't works i'm sad  and very frustraded  :@ :@ --__--
sadness,@Emiily_Kate i know its heaps awesome. if your not working all weekend
sadness,At work... What a miserable day
sadness,@dougiemcfly ME TOO! hehe i hate colds. totaly annoying...
happiness,"@mysolis Aw, sorry ur day sucked!  Did u see my post abt car issues? LOL I think it's safe to say it can only get better tho. Beer-thirty?"
happiness,Yay! Bannerbomb for the Wii is finally out. I can run homebrew on my 4.0 Wii.
happiness,@Suzyqbee10 that'd be awesome!!! I don't think i've ever been blogged about!!!
happiness,cookies and milk to make me feel better. thanks babe. still recuperating from last night.   http://yfrog.com/13izrj
happiness,@goldi_m except im on site near the airport on Dixon!  i have a lil #starbucks gps in my head hehe
sadness,wish it wasn't raining
happiness,@xHayleeey they are finally getting ready i see on msn  ahaha  have fun fun fun
sadness,drinking cordial  yes im bored
happiness,watched the Bones finale last night in the UK &amp; it rocked!! oh how much I missed Zack!!!  @EricMillegan is so freakin' awesome &lt;3
happiness,@cocotian of course i do.. such an adorable face.
sadness,@TearlessPoet hmmm really??? that's weird idk about that one  sowwy
sadness,@NG01 you got it. poor thing not gonna have a choice for much longer though
happiness,"@FollowMyJourney Oh girl, get that baby going to bed at 7pm!"
sadness,another week starts
sadness,fed up of pain now
happiness,is choosing to do britney for the dance showcase! yesss  cant wait. 58 days....
happiness,"@Desert_Paradise Hi Dale, your welcome man! Hope ur weekend is going well. I think I would enjoy your Desert Paradise! fun, fun, fun!"
sadness,has a gym day and is hoping to enjoy the last Friday of her twenties.
happiness,@Karen230683 morning  hope u r well.. i'm off to bed soon!
sadness,@shanelapoint hey hunnie  how are u?? I miss talkin to u! Ty for the follow
happiness,@botse that's a very cute picture ... but you don't get fat from licking BBQs ... he must have found some chops on someone else's ...
happiness,aaah good bye mikee  smoked crabs!
sadness,my stomach hurts
sadness,I'm glad that all got cleared up.  I lah you!  Idk why Linda hates me though..
sadness,I just realized I spelled &quot;adorable&quot; wrong when I tweeted @mindykaling she must hate me now
happiness,@Karen230683 good good!!
happiness,100 Followers  Bom Dia!!
sadness,I feel like my dream just got crushed
sadness,"It's clear intellectually that severing my relationship was best, yet my heart seems 2 B in complete disagreement. It hurts so so much"
sadness,im not happy   my ipod or laptop dont know whih but one has decided to refuse to let me sync my songs :'( how can i live without it :/
sadness,i'm at work starving
happiness,@MrCartersNurse  congratulations for your mom for tomorrow ! buenas noches
